id,alias,name,image_url,url,price,phone,display_phone,latitude,longitude,address1,address2,address3,city,zip_code,country,state,display_address,categories,category_0,category_1,category_2,pickup,delivery
rW44tFK72COM33jdzxpJog,lloyds-carrot-cake-bronx,Lloyd's Carrot Cake,https://s3-media2.fl.yelpcdn.com/bphoto/uXRRhxqq99pomOhdYJPUEQ/o.jpg,https://www.yelp.com/biz/lloyds-carrot-cake-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$,+17185489020,(718) 548-9020,40.894,-73.89666,6087 Broadway,,,Bronx,10471,US,NY,"6087 Broadway Bronx, NY 10471","Bakeries, Desserts",Bakeries,Desserts,,True,True
4wyPdXX96e0akxvCp268iw,accra-restaurant-new-york,Accra Restaurant,https://s3-media4.fl.yelpcdn.com/bphoto/ffrwe76XkIl-lehuQ-Bvcw/o.jpg,https://www.yelp.com/biz/accra-restaurant-new-york?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+12129327739,(212) 932-7739,40.8079504,-73.9490877,2065 Adam Clayton Powell Jr Blvd,,,New York,10027,US,NY,"2065 Adam Clayton Powell Jr Blvd New York, NY 10027","African, Soul Food, Soup",African,Soul Food,Soup,True,True
Z-8pLenKRMwAftAWDNZA2w,cea-lo-cafe-bronx,Cea-Lo Cafe,https://s3-media3.fl.yelpcdn.com/bphoto/PDq1U-_QTWebfnzqXGoA4Q/o.jpg,https://www.yelp.com/biz/cea-lo-cafe-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17186200337,(718) 620-0337,40.82517,-73.87034,1003 Soundview Ave,,,Bronx,10472,US,NY,"1003 Soundview Ave Bronx, NY 10472","Soul Food, Seafood",Soul Food,Seafood,,False,False
RMwhrKqmLph3zlY96FUHfA,fouta-african-american-restaurant-bronx,Fouta African American Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/1ouxoB4dEKCPwxjdDHCwQQ/o.jpg,https://www.yelp.com/biz/fouta-african-american-restaurant-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17187921700,(718) 792-1700,40.83126,-73.86792,1762 Westchester Ave,,,Bronx,10472,US,NY,"1762 Westchester Ave Bronx, NY 10472","Senegalese, Halal",Senegalese,Halal,,False,False
XzUW9MvEGOFs9_aNj11j2Q,dinosaur-bar-b-que-harlem,Dinosaur Bar-B-Que,https://s3-media2.fl.yelpcdn.com/bphoto/w4NDBIZY_0l4YSptnFFNKg/o.jpg,https://www.yelp.com/biz/dinosaur-bar-b-que-harlem?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+12126941777,(212) 694-1777,40.818098338924,-73.9608729269837,700 W 125th St,,,Harlem,10027,US,NY,"700 W 125th St Harlem, NY 10027","Barbeque, Music Venues",Barbeque,Music Venues,,True,True
g_Zz87qghqq9bKHiKyws0w,beatstro-bronx,Beatstro,https://s3-media4.fl.yelpcdn.com/bphoto/iUFHSu-UVDT8Idt2RReyzg/o.jpg,https://www.yelp.com/biz/beatstro-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17184899397,(718) 489-9397,40.80737,-73.92752,135 Alexander Ave,,,Bronx,10454,US,NY,"135 Alexander Ave Bronx, NY 10454","American (Traditional), Speakeasies, Latin American",American (Traditional),Speakeasies,Latin American,True,True
IOpwD_y0GGzeMPxr2cLtqg,bricks-and-hops-beer-garden-new-york,Bricks & Hops Beer Garden,https://s3-media1.fl.yelpcdn.com/bphoto/MeltWY-NDWFLKr35_yO5Tg/o.jpg,https://www.yelp.com/biz/bricks-and-hops-beer-garden-new-york?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17184503991,(718) 450-3991,40.806558,-73.926338,65 Bruckner Blvd,,,New York,10454,US,NY,"65 Bruckner Blvd New York, NY 10454",Beer Gardens,Beer Gardens,,,True,True
5laPr-K_L1MDJYO3x4VHNQ,flavas-international-grill-bronx-2,Flavas International Grill,https://s3-media2.fl.yelpcdn.com/bphoto/znv5c31_UeiRuDr0kTAJfg/o.jpg,https://www.yelp.com/biz/flavas-international-grill-bronx-2?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17182922900,(718) 292-2900,40.82704,-73.92511,854 Gerard Ave,,,Bronx,10451,US,NY,"854 Gerard Ave Bronx, NY 10451","Caribbean, Soul Food, Juice Bars & Smoothies",Caribbean,Soul Food,Juice Bars & Smoothies,True,True
bOMXop8H92zupzxlVulfoA,margaritas-restaurant-bronx,Margarita's Restaurant,https://s3-media1.fl.yelpcdn.com/bphoto/peGfamuWGqSkWmSutiGXYw/o.jpg,https://www.yelp.com/biz/margaritas-restaurant-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$,+13472705541,(347) 270-5541,40.81588,-73.90261,915 Avenue St John,,,Bronx,10455,US,NY,"915 Avenue St John Bronx, NY 10455","Puerto Rican, Latin American",Puerto Rican,Latin American,,False,False
ufWQmn5PjrM0M46L6kpX8g,papaye-bronx,Papaye,https://s3-media2.fl.yelpcdn.com/bphoto/KylMzh7qnA02tAqRHK-b4Q/o.jpg,https://www.yelp.com/biz/papaye-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17186760771,(718) 676-0771,40.8574849,-73.899272,2300 Grand Concourse,,,Bronx,10458,US,NY,"2300 Grand Concourse Bronx, NY 10458",African,African,,,False,False
XzUW9MvEGOFs9_aNj11j2Q,dinosaur-bar-b-que-harlem,Dinosaur Bar-B-Que,https://s3-media2.fl.yelpcdn.com/bphoto/w4NDBIZY_0l4YSptnFFNKg/o.jpg,https://www.yelp.com/biz/dinosaur-bar-b-que-harlem?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+12126941777,(212) 694-1777,40.818098338924,-73.9608729269837,700 W 125th St,,,Harlem,10027,US,NY,"700 W 125th St Harlem, NY 10027","Barbeque, Music Venues",Barbeque,Music Venues,,True,True
w9JTq73cxcacoRTtoZBhjA,soul-snacks-cafe-the-bronx,Soul Snacks Cafe,https://s3-media4.fl.yelpcdn.com/bphoto/p_ukBPIpmQ_9w3B2nZKF_A/o.jpg,https://www.yelp.com/biz/soul-snacks-cafe-the-bronx?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,,+13473988917,(347) 398-8917,40.84253,-73.845849,2702B E Tremont Ave,,,The Bronx,10461,US,NY,"2702B E Tremont Ave The Bronx, NY 10461",Soul Food,Soul Food,,,False,True
Dw0D3560Yt3pQtdm74gGeQ,a-and-a-bake-and-double-and-roti-shop-brooklyn-3,A&A Bake and Double and Roti Shop,https://s3-media4.fl.yelpcdn.com/bphoto/L7AE9WFahJYSQjd64ZeLXQ/o.jpg,https://www.yelp.com/biz/a-and-a-bake-and-double-and-roti-shop-brooklyn-3?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$,+13474250016,(347) 425-0016,40.68043,-73.94795,1337 Fulton St,,,Brooklyn,11216,US,NY,"1337 Fulton St Brooklyn, NY 11216","Bakeries, Trinidadian, Fast Food",Bakeries,Trinidadian,Fast Food,False,False
cHcKR-nHrfIJATmx4ON8Cw,basquiats-bottle-brooklyn,Basquiat's Bottle,https://s3-media2.fl.yelpcdn.com/bphoto/Sw1oEOsZt5OncFHk_SGakQ/o.jpg,https://www.yelp.com/biz/basquiats-bottle-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13475338288,(347) 533-8288,40.68042,-73.9526996,1198 Fulton St,,,Brooklyn,11216,US,NY,"1198 Fulton St Brooklyn, NY 11216",Cocktail Bars,Cocktail Bars,,,True,True
G8A98MjW3zIv3uJt6NfRDQ,bed-stuy-fish-fry-brooklyn-2,Bed-Stuy Fish Fry,https://s3-media1.fl.yelpcdn.com/bphoto/LRP43N_toIlUWy2zULNBUA/o.jpg,https://www.yelp.com/biz/bed-stuy-fish-fry-brooklyn-2?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13474059820,(347) 405-9820,40.6852859168279,-73.9207512424077,801 Halsey St,,,Brooklyn,11233,US,NY,"801 Halsey St Brooklyn, NY 11233",Seafood,Seafood,,,True,False
Oj9YL8uGluriiklX_nATPA,bed-vyne-wine-and-spirits-shop-brooklyn-3,Bed-Vyne Wine & Spirits Shop,https://s3-media1.fl.yelpcdn.com/bphoto/bJbnkuxiuCN9wVarKUV_NA/o.jpg,https://www.yelp.com/biz/bed-vyne-wine-and-spirits-shop-brooklyn-3?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13479151080,(347) 915-1080,40.6846262,-73.9440354,385 Tompkins Ave,,,Brooklyn,11216,US,NY,"385 Tompkins Ave Brooklyn, NY 11216","Beer, Wine & Spirits","Beer, Wine & Spirits",,,False,False
X3ToKHjzofO8EzfiHYewWg,brooklyn-blend-brooklyn,Brooklyn Blend,https://s3-media4.fl.yelpcdn.com/bphoto/Yb3HbBioFUmJCxzW4nT_lg/o.jpg,https://www.yelp.com/biz/brooklyn-blend-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17184842247,(718) 484-2247,40.6923440819487,-73.9458492169658,194 Tompkins Ave,,,Brooklyn,11206,US,NY,"194 Tompkins Ave Brooklyn, NY 11206","American (New), Juice Bars & Smoothies, Coffee & Tea",American (New),Juice Bars & Smoothies,Coffee & Tea,True,True
IPh4H0AfWk5LVplgYV9OGQ,black-nile-brooklyn-2,Black Nile,https://s3-media3.fl.yelpcdn.com/bphoto/Dulq5zYAMQ8XgWIw5T4ImA/o.jpg,https://www.yelp.com/biz/black-nile-brooklyn-2?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13478798911,(347) 879-8911,40.67823,-73.94998,592 Nostrand Ave,,,Brooklyn,11216,US,NY,"592 Nostrand Ave Brooklyn, NY 11216","Seafood, Soul Food, Halal",Seafood,Soul Food,Halal,True,True
zzccPbfWp2-XqFsPl7I0Yg,brooklyn-baby-cakes-brooklyn-2,Brooklyn Baby Cakes,https://s3-media2.fl.yelpcdn.com/bphoto/_TMh9us4TzsSZyd1lg89sA/o.jpg,https://www.yelp.com/biz/brooklyn-baby-cakes-brooklyn-2?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17184848466,(718) 484-8466,40.6815348042311,-73.9499017386206,506 Nostrand Ave,,,Brooklyn,11216,US,NY,"506 Nostrand Ave Brooklyn, NY 11216","Bakeries, Desserts, Cupcakes",Bakeries,Desserts,Cupcakes,True,True
gbKPnTbdLqqpro-jTYKvBA,brooklyn-beso-restaurant-and-bar-brooklyn,Brooklyn Beso Restaurant & Bar,https://s3-media3.fl.yelpcdn.com/bphoto/CtZ8QMhTymBKU5gsgXMoOQ/o.jpg,https://www.yelp.com/biz/brooklyn-beso-restaurant-and-bar-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13479152900,(347) 915-2900,40.68293,-73.93533,370 Lewis Ave,,,Brooklyn,11233,US,NY,"370 Lewis Ave Brooklyn, NY 11233","Latin American, Bars, Breakfast & Brunch",Latin American,Bars,Breakfast & Brunch,True,True
du4_zHFNnelNJMgiXBKKWQ,brooklyn-kettle-bedford-stuyvesant,Brooklyn Kettle,https://s3-media3.fl.yelpcdn.com/bphoto/J0FUry_nRXWugVAJ7FTmaw/o.jpg,https://www.yelp.com/biz/brooklyn-kettle-bedford-stuyvesant?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13473653497,(347) 365-3497,40.6845860298082,-73.9445499703288,420 Putnam Ave,,,Bedford-Stuyvesant,11216,US,NY,"420 Putnam Ave Bedford-Stuyvesant, NY 11216",Coffee & Tea,Coffee & Tea,,,False,False
n8iCQb7mRUwV--vtIO7hsg,brooklyn-tea-brooklyn,Brooklyn Tea,https://s3-media4.fl.yelpcdn.com/bphoto/NAtma3V2MYHAxNKH1O_lWw/o.jpg,https://www.yelp.com/biz/brooklyn-tea-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,,+13472404281,(347) 240-4281,40.68084,-73.94982,524 Nostrand Ave,,,Brooklyn,11216,US,NY,"524 Nostrand Ave Brooklyn, NY 11216","Tea Rooms, Coffee & Tea",Tea Rooms,Coffee & Tea,,True,True
B5DVYcAYXqesHAMXurtKDQ,butter-and-scotch-brooklyn-2,Butter & Scotch,https://s3-media2.fl.yelpcdn.com/bphoto/dXZ_LxBA4zgxlvPgEhK_lg/o.jpg,https://www.yelp.com/biz/butter-and-scotch-brooklyn-2?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13473508899,(347) 350-8899,40.669893909327,-73.9583220803651,818 Franklin Ave,,,Brooklyn,11225,US,NY,"818 Franklin Ave Brooklyn, NY 11225","Desserts, Bakeries, Bars",Desserts,Bakeries,Bars,True,True
QCwrgx0DOyia2sqGy0K4qw,cafe-on-ralph-brooklyn-3,Cafe On Ralph,https://s3-media4.fl.yelpcdn.com/bphoto/IV0mVnxj_hFkZAP7ujtEIg/o.jpg,https://www.yelp.com/biz/cafe-on-ralph-brooklyn-3?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13474619669,(347) 461-9669,40.6871563785126,-73.9237967133522,86 Ralph Ave,,,Brooklyn,11221,US,NY,"86 Ralph Ave Brooklyn, NY 11221","Cafes, Breakfast & Brunch",Cafes,Breakfast & Brunch,,True,True
Hz7g0AdOEZM5mVsF-vEooA,the-council-cafe-brooklyn,The Council Cafe,,https://www.yelp.com/biz/the-council-cafe-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,,+13472408778,(347) 240-8778,40.689284,-73.951045,279 Nostrand Ave,,,Brooklyn,11216,US,NY,"279 Nostrand Ave Brooklyn, NY 11216",Cafes,Cafes,,,True,True
E2RpnwMxgDHAWcsNMevhmg,cuts-and-slices-brooklyn-3,Cuts & Slices,https://s3-media1.fl.yelpcdn.com/bphoto/OQJ8hVn-ASBVe9ZTk3Z7Dw/o.jpg,https://www.yelp.com/biz/cuts-and-slices-brooklyn-3?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$,+17185522652,(718) 552-2652,40.6854737,-73.9203186,93 Howard Ave,,,Brooklyn,11233,US,NY,"93 Howard Ave Brooklyn, NY 11233",Pizza,Pizza,,,True,True
hSgD7ERSw0DE2RMzLGFiHg,daddy-greens-brooklyn,Daddy Greens,https://s3-media3.fl.yelpcdn.com/bphoto/e9XRyluJfMa9eFlgoX0JDQ/o.jpg,https://www.yelp.com/biz/daddy-greens-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$,+17184842142,(718) 484-2142,40.67969,-73.93883,1552 Fulton St,,,Brooklyn,11233,US,NY,"1552 Fulton St Brooklyn, NY 11233","Pizza, Sandwiches, Salad",Pizza,Sandwiches,Salad,True,True
xhLTaWSIMITBa3nL6KC8Ww,doctors-cave-cafe-brooklyn,Doctor's Cave Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/JGEXt7-fBVeGfGziz6hSXQ/o.jpg,https://www.yelp.com/biz/doctors-cave-cafe-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$,+17183984776,(718) 398-4776,40.6841234220335,-73.9470199776415,856 Marcy Ave,,,Brooklyn,11216,US,NY,"856 Marcy Ave Brooklyn, NY 11216","Juice Bars & Smoothies, Cafes, Desserts",Juice Bars & Smoothies,Cafes,Desserts,False,False
-ic13XJ9ekpEfshQFPKL4A,grandchamps-kitchen-and-market-brooklyn,Grandchamps Kitchen & Market,https://s3-media4.fl.yelpcdn.com/bphoto/cQRRc8goK0reZZlCIffEYg/o.jpg,https://www.yelp.com/biz/grandchamps-kitchen-and-market-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17184844880,(718) 484-4880,40.6847096,-73.9262115,197 Patchen Ave,,,Brooklyn,11233,US,NY,"197 Patchen Ave Brooklyn, NY 11233","Haitian, Sandwiches, Desserts",Haitian,Sandwiches,Desserts,True,True
UXPZk1P695Hv8ml2QWMV7w,greedi-vegan-brooklyn-7,Greedi Vegan,https://s3-media2.fl.yelpcdn.com/bphoto/E4LlGxyL7_HxCWaNYvuvPw/o.jpg,https://www.yelp.com/biz/greedi-vegan-brooklyn-7?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+13476277900,(347) 627-7900,40.6763513,-73.9523247,1031 Bergen St,,,Brooklyn,11216,US,NY,"1031 Bergen St Brooklyn, NY 11216","Vegan, Vegetarian",Vegan,Vegetarian,,True,False
alY-qhsNz_qLR3xmSw0zqA,happy-cork-brooklyn,Happy Cork,https://s3-media2.fl.yelpcdn.com/bphoto/wG7l0GWIGv-goAUAQ784ZQ/o.jpg,https://www.yelp.com/biz/happy-cork-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,,+13479859067,(347) 985-9067,40.67734,-73.92461,51 Buffalo Ave,,,Brooklyn,11233,US,NY,"51 Buffalo Ave Brooklyn, NY 11233","Beer, Wine & Spirits","Beer, Wine & Spirits",,,False,False
FdB6KDTEmX8HvomPwySAHg,joloff-restaurant-brooklyn,Joloff Restaurant,https://s3-media3.fl.yelpcdn.com/bphoto/fW320I3CPOmLh85RQ6-MRw/o.jpg,https://www.yelp.com/biz/joloff-restaurant-brooklyn?adjust_creative=bTbNM_4fpBA2r1xO8IveLw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=bTbNM_4fpBA2r1xO8IveLw,$$,+17182300523,(718) 230-0523,40.6841,-73.95422,1168 Bedford Ave,,,Brooklyn,11216,US,NY,"1168 Bedford Ave Brooklyn, NY 11216","Senegalese, Halal",Senegalese,Halal,,True,True
